[01:03:27.125] [info] [LogGLFWWindow] Resize: width=1219, height=904
[01:03:27.140] [info] [LogGLFWWindow] Resize: width=1217, height=910
[01:03:27.155] [info] [LogGLFWWindow] Resize: width=1216, height=913
[01:03:27.172] [info] [LogGLFWWindow] Resize: width=1214, height=919
[01:03:27.186] [info] [LogGLFWWindow] Resize: width=1211, height=924
[01:03:27.200] [info] [LogGLFWWindow] Resize: width=1209, height=930
[01:03:27.217] [info] [LogGLFWWindow] Resize: width=1205, height=935
[01:03:27.234] [info] [LogGLFWWindow] Resize: width=1202, height=941
[01:03:27.246] [info] [LogGLFWWindow] Resize: width=1199, height=946
[01:03:27.261] [info] [LogGLFWWindow] Resize: width=1196, height=950
[01:03:27.275] [info] [LogGLFWWindow] Resize: width=1194, height=953
[01:03:27.291] [info] [LogGLFWWindow] Resize: width=1191, height=957
[01:03:27.309] [info] [LogGLFWWindow] Resize: width=1188, height=961
[01:03:27.321] [info] [LogGLFWWindow] Resize: width=1184, height=965
[01:03:27.338] [info] [LogGLFWWindow] Resize: width=1180, height=970
[01:03:27.354] [info] [LogGLFWWindow] Resize: width=1174, height=978
[01:03:27.372] [info] [LogGLFWWindow] Resize: width=1169, height=987
[01:03:27.396] [info] [LogGLFWWindow] Resize: width=1161, height=999
[01:03:27.411] [info] [LogGLFWWindow] Resize: width=1156, height=1005
[01:03:27.425] [info] [LogGLFWWindow] Resize: width=1151, height=1010
[01:03:27.441] [info] [LogGLFWWindow] Resize: width=1147, height=1013
[01:03:27.457] [info] [LogGLFWWindow] Resize: width=1144, height=1018
[01:03:27.470] [info] [LogGLFWWindow] Resize: width=1140, height=1023
[01:03:27.485] [info] [LogGLFWWindow] Resize: width=1136, height=1028
[01:03:27.500] [info] [LogGLFWWindow] Resize: width=1132, height=1033
[01:03:27.516] [info] [LogGLFWWindow] Resize: width=1130, height=1037
[01:03:27.534] [info] [LogGLFWWindow] Resize: width=1125, height=1048
[01:03:27.545] [info] [LogGLFWWindow] Resize: width=1122, height=1052
[01:03:27.560] [info] [LogGLFWWindow] Resize: width=1120, height=1053
[01:03:27.575] [info] [LogGLFWWindow] Resize: width=1119, height=1054
[01:03:27.771] [info] [LogGLFWWindow] Resize: width=1119, height=1053
[01:03:27.795] [info] [LogGLFWWindow] Resize: width=1120, height=1052
[01:03:27.800] [info] [LogGLFWWindow] Resize: width=1122, height=1051
[01:03:27.818] [info] [LogGLFWWindow] Resize: width=1124, height=1050
[01:03:27.837] [info] [LogGLFWWindow] Resize: width=1128, height=1049
[01:03:27.846] [info] [LogGLFWWindow] Resize: width=1131, height=1047
[01:03:27.861] [info] [LogGLFWWindow] Resize: width=1135, height=1045
[01:03:27.877] [info] [LogGLFWWindow] Resize: width=1137, height=1044
[01:03:27.894] [info] [LogGLFWWindow] Resize: width=1143, height=1042
[01:03:27.910] [info] [LogGLFWWindow] Resize: width=1151, height=1038
[01:03:27.925] [info] [LogGLFWWindow] Resize: width=1164, height=1035
[01:03:27.935] [info] [LogGLFWWindow] Resize: width=1178, height=1033
[01:03:27.950] [info] [LogGLFWWindow] Resize: width=1194, height=1032
[01:03:27.969] [info] [LogGLFWWindow] Resize: width=1210, height=1032
[01:03:27.986] [info] [LogGLFWWindow] Resize: width=1223, height=1032
[01:03:27.995] [info] [LogGLFWWindow] Resize: width=1229, height=1033
[01:03:28.011] [info] [LogGLFWWindow] Resize: width=1241, height=1034
[01:03:28.026] [info] [LogGLFWWindow] Resize: width=1251, height=1034
[01:03:28.043] [info] [LogGLFWWindow] Resize: width=1258, height=1034
[01:03:28.057] [info] [LogGLFWWindow] Resize: width=1263, height=1034
[01:03:28.070] [info] [LogGLFWWindow] Resize: width=1267, height=1034
[01:03:28.085] [info] [LogGLFWWindow] Resize: width=1268, height=1033
[01:03:28.100] [info] [LogGLFWWindow] Resize: width=1269, height=1033
[01:03:28.130] [info] [LogGLFWWindow] Resize: width=1270, height=1033
[01:03:28.146] [info] [LogGLFWWindow] Resize: width=1274, height=1032
[01:03:28.160] [info] [LogGLFWWindow] Resize: width=1279, height=1030
[01:03:28.175] [info] [LogGLFWWindow] Resize: width=1286, height=1028
[01:03:28.191] [info] [LogGLFWWindow] Resize: width=1295, height=1026
[01:03:28.208] [info] [LogGLFWWindow] Resize: width=1302, height=1023
[01:03:28.221] [info] [LogGLFWWindow] Resize: width=1307, height=1021
[01:03:28.236] [info] [LogGLFWWindow] Resize: width=1309, height=1021
[01:03:28.251] [info] [LogGLFWWindow] Resize: width=1313, height=1019
[01:03:28.267] [info] [LogGLFWWindow] Resize: width=1316, height=1017
[01:03:28.283] [info] [LogGLFWWindow] Resize: width=1318, height=1015
[01:03:28.314] [info] [LogGLFWWindow] Resize: width=1320, height=1012
[01:03:28.325] [info] [LogGLFWWindow] Resize: width=1320, height=1009
[01:03:28.340] [info] [LogGLFWWindow] Resize: width=1323, height=1006
[01:03:28.357] [info] [LogGLFWWindow] Resize: width=1324, height=1005
[01:03:28.370] [info] [LogGLFWWindow] Resize: width=1328, height=1000
[01:03:28.386] [info] [LogGLFWWindow] Resize: width=1332, height=996
[01:03:28.400] [info] [LogGLFWWindow] Resize: width=1335, height=991
[01:03:28.416] [info] [LogGLFWWindow] Resize: width=1339, height=985
